"Deal","Product name","Current prices","old prices","Discount 3","Rating","ic href 2","add","_ni src"
"Tech week deal","Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold (1YR WRTY)","KSh 8,999","KSh 13,999","36%","4.3 out of 5","[object Object]","Add to cart",""
"Tech week deal","ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black","KSh 439","KSh 782","44%","3.9 out of 5","[object Object]","Add to cart",""
"Tech week deal","Itel Flip 1 Folding Phone - 2.4"" - 1200mAh (Dual SIM), Wireless FM, Blue (1YR WRTY)","KSh 2,899","KSh 3,548","18%","4 out of 5","[object Object]","Add to cart",""
"Tech week deal","RichRipple Tws Bluetooth Headsets Wireless Pods Pro Earpods Earphones","KSh 449","KSh 826","46%","3.8 out of 5","[object Object]","Add to cart",""
"","RichRipple Purple Metal Desktop Phones & Tablets Holder Foldable Stand","KSh 289","KSh 567","49%","4.2 out of 5","[object Object]","Add to cart",""
"Tech week deal","RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones","KSh 429","KSh 826","48%","3.8 out of 5","[object Object]","Add to cart",""
"Tech week deal","RichRipple T500 Fitpro Smart Watch Health Monitor 1.44 “Black","KSh 671","KSh 1,299","48%","3.5 out of 5","[object Object]","Add to cart",""
"Tech week deal","Itel BudsAce TWS Earbuds ENC Super Bass 35-Hour Battery Life","KSh 1,199","KSh 1,900","37%","4.8 out of 5","[object Object]","Add to cart",""
"Out of Stock","Realme C21Y, 6.5"", 4GB RAM + 64GB (Dual SIM), 5000mAh, Black","KSh 17,000","","","","[object Object]","Sold out",""
"","Promate Ultra-Fast USB-A To USB-C Soft Silicone Cable,   (1YR WRTY)","KSh 999","","","","","Add to cart",""
"","TAAR CORE TYPE C DATA CABLE","KSh 220","KSh 399","45%","4 out of 5","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Hama Color 20 Power Pack 20000 Mah (201715) Plum (5YRs WRTY)","KSh 5,995","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","TAAR FLEX TYPE C TO C DATA CABLE","KSh 499","KSh 599","17%","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Belkin Charge Usb-a Wall Charger (12w) - White (1YR WRTY)","KSh 2,599","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Ugreen USB-C To Lightning Male To Male Fast-Charge Cable","KSh 3,100","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"","Hama  Selfie 90 Monopod For Gopro (004299)","KSh 4,995","","","","","Add to cart","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
